description,lat,lon,hour,geo_bucket,type
signalisation abîmée place du marché,49.26872700594237,2.4364999155494984,23,49.27027_2.43694,voirie
trottinette laissée avenue des lilas,49.29753571532049,2.4092255997799357,20,49.29730_2.40991,objet_abandonne
animal sans maître avenue des lilas,49.28659969709057,2.417331984718494,0,49.28829_2.41892,animal_errant
poubelles débordent rue victor hugo,49.27993292420985,2.4331640318428907,19,49.27928_2.43243,dechets_sauvages
signalisation abîmée place du marché,49.25780093202212,2.4241044672262237,2,49.25676_2.42342,voirie
agression verbale avenue des lilas,49.25779972601681,2.4369285519317447,12,49.25676_2.43694,incivilite
arbre tombé rue victor hugo,49.25290418060841,2.448060395061143,6,49.25225_2.44595,espace_vert
trottoir cassé avenue des lilas,49.293308807288746,2.40582733438576,5,49.29279_2.40541,voirie
poubelles débordent rue victor hugo,49.28005575058716,2.435478385819903,5,49.27928_2.43694,dechets_sauvages
déchets au sol rue victor hugo,49.2854036288898,2.4115172077816056,1,49.28378_2.40991,dechets_sauvages
vélo abandonné rue victor hugo,49.25102922471479,2.4207238363703785,15,49.25225_2.41892,objet_abandonne
abribus brisé rue victor hugo,49.2984954926081,2.401643136289757,5,49.29730_2.40090,mobilier_urbain
signalisation abîmée rue victor hugo,49.29162213204002,2.4067953691146347,7,49.29279_2.40541,voirie
signalisation abîmée place du marché,49.26061695553391,2.4159888644524448,20,49.26126_2.41441,voirie
agression verbale avenue des lilas,49.259091248360356,2.417099290264399,10,49.26126_2.41892,incivilite
trottoir cassé place du marché,49.259170225492674,2.444979260823105,17,49.26126_2.44595,voirie
caddie dans la rue place du marché,49.26521211214798,2.437090645463326,22,49.26577_2.43694,objet_abandonne
trottoir cassé avenue des lilas,49.27623782158161,2.448609148409352,5,49.27477_2.45045,voirie
trottinette laissée avenue des lilas,49.2715972509321,2.429953575516762,13,49.27027_2.42793,objet_abandonne
chien errant rue victor hugo,49.264561457009904,2.412085686604566,14,49.26577_2.40991,animal_errant
banc cassé rue victor hugo,49.28059264473612,2.416382751496082,10,49.27928_2.41441,mobilier_urbain
barrière tordue avenue des lilas,49.2569746930326,2.4159917961645982,14,49.25676_2.41441,mobilier_urbain
chien errant place du marché,49.26460723242676,2.4163247163831625,12,49.26577_2.41441,animal_errant
animal sans maître avenue des lilas,49.268318092164684,2.433648208655591,5,49.27027_2.43243,animal_errant
nid-de-poule rue victor hugo,49.27280349921085,2.426540396404521,3,49.27477_2.42793,voirie
parterre dégradé place du marché,49.28925879806965,2.4192712089043322,13,49.28829_2.41892,espace_vert
tapage nocturne avenue des lilas,49.25998368910792,2.4074544884364357,12,49.26126_2.40541,incivilite
barrière tordue place du marché,49.27571172192068,2.4011069581471074,9,49.27477_2.40090,mobilier_urbain
poubelles débordent avenue des lilas,49.2796207284431,2.4109417338793846,21,49.27928_2.40991,dechets_sauvages
déchets au sol place du marché,49.252322520636,2.405373570198434,11,49.25225_2.40541,dechets_sauvages
tapage nocturne place du marché,49.28037724259507,2.439272251542612,23,49.27928_2.44144,incivilite
parterre dégradé place du marché,49.258526206184364,2.4056248978906942,7,49.25676_2.40541,espace_vert
tas de déchets avenue des lilas,49.25325257964926,2.4362114118653415,19,49.25225_2.43694,dechets_sauvages
caddie dans la rue avenue des lilas,49.29744427686267,2.419282934488804,4,49.29730_2.41892,objet_abandonne
barrière tordue place du marché,49.29828160165373,2.4036689194871887,1,49.29730_2.40541,mobilier_urbain
trottoir cassé rue victor hugo,49.290419867405824,2.440636502471579,19,49.28829_2.44144,voirie
animal sans maître rue victor hugo,49.265230688458665,2.4289815285118306,11,49.26577_2.42793,animal_errant
vélo abandonné place du marché,49.25488360570032,2.4117880756431784,5,49.25676_2.40991,objet_abandonne
poubelles débordent rue victor hugo,49.284211651325606,2.4447340587166333,14,49.28378_2.44595,dechets_sauvages
poubelles débordent place du marché,49.27200762468698,2.4022629156935276,17,49.27027_2.40090,dechets_sauvages
tas de déchets place du marché,49.25610191174224,2.4100909804098882,17,49.25676_2.40991,dechets_sauvages
attroupement bruyant rue victor hugo,49.274758845505566,2.437602346390293,9,49.27477_2.43694,incivilite
banc cassé avenue des lilas,49.25171942605576,2.4354688965154945,6,49.25225_2.43694,mobilier_urbain
banc cassé place du marché,49.29546602010394,2.414463584686224,9,49.29730_2.41441,mobilier_urbain
caddie dans la rue place du marché,49.26293899908,2.403101243767639,4,49.26126_2.40090,objet_abandonne
haie non taillée place du marché,49.2831261142177,2.442903903611247,15,49.28378_2.44144,espace_vert
poubelles débordent rue victor hugo,49.26558555380447,2.415684881903495,18,49.26577_2.41441,dechets_sauvages
déchets au sol place du marché,49.276003401058894,2.4097856707464134,2,49.27477_2.40991,dechets_sauvages
trottoir cassé rue victor hugo,49.27733551396717,2.425803091118049,6,49.27928_2.42793,voirie
tapage nocturne avenue des lilas,49.25924272277628,2.4455113599641223,18,49.26126_2.44595,incivilite
nid-de-poule rue victor hugo,49.29847923138823,2.4021773288921686,11,49.29730_2.40090,voirie
caddie dans la rue place du marché,49.28875664116806,2.4382902044015444,9,49.28829_2.43694,objet_abandonne
poubelles débordent avenue des lilas,49.29697494707821,2.4286236613969354,4,49.29730_2.42793,dechets_sauvages
chat blessé rue victor hugo,49.29474136752138,2.421272455827591,1,49.29279_2.42342,animal_errant
déchets au sol rue victor hugo,49.279894998940556,2.437204022205253,2,49.27928_2.43694,dechets_sauvages
nid-de-poule rue victor hugo,49.296093711751155,2.4482912212220813,13,49.29730_2.45045,voirie
signalisation abîmée avenue des lilas,49.254424625102594,2.4114603105581343,14,49.25225_2.40991,voirie
abribus brisé place du marché,49.25979914312096,2.407182368253606,19,49.26126_2.40541,mobilier_urbain
caddie dans la rue place du marché,49.25226136444552,2.445644087261135,12,49.25225_2.44595,objet_abandonne
arbre tombé avenue des lilas,49.26626651653816,2.433447653872865,16,49.26577_2.43243,espace_vert
signalisation abîmée place du marché,49.269433864484476,2.4218993010780983,19,49.27027_2.42342,voirie
trottinette laissée place du marché,49.26356745158869,2.428662978513214,3,49.26577_2.42793,objet_abandonne
agression verbale rue victor hugo,49.2914368754576,2.437280695258812,18,49.29279_2.43694,incivilite
poubelles débordent avenue des lilas,49.26783766633468,2.4386515949352856,14,49.26577_2.43694,dechets_sauvages
barrière tordue rue victor hugo,49.26404672548437,2.445994709040948,14,49.26577_2.44595,mobilier_urbain
barrière tordue avenue des lilas,49.27713480415791,2.421342139444781,8,49.27928_2.42342,mobilier_urbain
nid-de-poule avenue des lilas,49.257046211248735,2.41467054550097,2,49.25676_2.41441,voirie
tas de déchets rue victor hugo,49.290109849037705,2.431983213339492,1,49.28829_2.43243,dechets_sauvages
signalisation abîmée place du marché,49.25372753218399,2.4207863949639763,6,49.25225_2.41892,voirie
barrière tordue avenue des lilas,49.299344346830026,2.4297299226974487,8,49.29730_2.42793,mobilier_urbain
tas de déchets place du marché,49.288612238464836,2.4209992899227974,21,49.28829_2.41892,dechets_sauvages
signalisation abîmée place du marché,49.25993578407671,2.4076497893339086,4,49.26126_2.40541,voirie
trottinette laissée rue victor hugo,49.25027610585618,2.423471337582948,16,49.25225_2.42342,objet_abandonne
nid-de-poule avenue des lilas,49.29077307142274,2.4345458910970517,2,49.29279_2.43243,voirie
déchets au sol rue victor hugo,49.285342867192384,2.439964190383382,8,49.28378_2.44144,dechets_sauvages
nid-de-poule avenue des lilas,49.28645035840205,2.4246663138398272,7,49.28829_2.42342,voirie
parterre dégradé avenue des lilas,49.288563517334296,2.40826189451052,8,49.28829_2.40991,espace_vert
signalisation abîmée rue victor hugo,49.253702232586704,2.4207343854824717,23,49.25225_2.41892,voirie
nid-de-poule place du marché,49.26792328642721,2.439314696442085,16,49.26577_2.44144,voirie
déchets au sol rue victor hugo,49.255793452976256,2.4206429635308537,23,49.25676_2.41892,dechets_sauvages
nid-de-poule rue victor hugo,49.29315517129378,2.434826539680211,7,49.29279_2.43694,voirie
abribus brisé avenue des lilas,49.28116490634138,2.4253606840839046,20,49.27928_2.42342,mobilier_urbain
haie non taillée avenue des lilas,49.26654490124263,2.41206115625547,13,49.26577_2.40991,espace_vert
